pano,pmes,conglome,vivienda,hogar,codperso,dominio,estrato,p101p,p103,p104,p105,p106,p107,p108,p110,p200n,p200i,p200a,p200b,p200c,p200d,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p205,p206,p207a,p207b,p208a,p208b1,p208b2,p208b3,p209,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209h,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p221a,p221b1,p221b2,p221b3,p222,ocu200,i211a,i212a,d211b,factor,toting,p200bb,p200dd,ingprinc,lintot01,linsub01,ingtrab,subemp01
2002,2,98,103,11,3,8,1,51103,3,1,2, ,1,16,3,3,3,20,1,26,1,12,3,1985,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,9,2, , , , ,2, , , , ,5,4, , , ,591.123819047133, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,98,103,11,4,8,1,51104,3,1,2, ,2,10,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,611.415349050872, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,98,106,11,1,8,1,51101,1,1,2, ,1,43,1,1,1,20,1,26,1,10,10,1958,2,1, , , , , , , , , , , , ,7,3,2, ,1, , , ,0,0,0,0,0,0,0,0,0,2,4,900,0, , ,0,0,1, , , , , , , , , , , , ,4,1,900, ,0,644.939191346413,900, , ,900,261.4118611,587.210880106404,900,3
2002,2,98,106,11,2,8,1,51102,2,1,2, ,2,40,2,2,2,20,1,26,1,18,10,1961,1, , , , , , , , , , , , , ,7,3,2, ,1, , , ,0,0,5,5,0,0,11,11,32,2,3,250,0, , ,0,0,1, , , , , , , , , , , , ,4,1,500, ,0,610.893231129048,500, , ,500,261.4118611,587.210880106404,500,2
2002,2,98,106,11,3,8,1,51103,3,1,2, ,1,13,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,561.121179659837, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,98,106,11,4,8,1,51104,3,1,2, ,2,8,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,611.415349050872, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,98,106,11,5,8,1,81105,6,1,2, ,2,17,5,5,5,20,1,26,1,26,10,1984,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,2, , , , ,5,4, , , ,607.668332502642, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,98,107,11,1,8,1,51101,1,1,2, ,1,51,1,1,1,20,1,26,1,23,6,1950,1, , , , , , , , , , , , , ,6,2,1,1,1, , , ,0,10,10,10,10,10,10,10,70,1, , , ,800,0,0,0,1, , , , , , , , , , , , ,5,1, ,800, ,494.305579873619,800, , ,800,261.4118611,587.210880106404,800,3
2002,2,98,107,11,2,8,1,51102,2,1,2, ,2,48,2,2,2,20,1,26,1,2,8,1953,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,1,2, , , ,1,1, , , ,5,4, , , ,499.076854317311, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,98,107,11,3,8,1,81108,3,1,2, ,1,28,3,3,3,20,1,26,1,17,4,1973,1, , , , , , , , , , , , , ,7,3,2, ,1, , , ,0,0,8,8,8,8,8,0,40,1,3,746,0, , ,0,0,1, , , , , , , , , , , , ,3,1,1492, ,0,644.939191346413,1492, , ,1492,261.4118611,587.210880106404,1492,3
